LAP_NUMBER,Car_A_Num,Car_Ahead_P1_Num,Gap_At_P1,Car_A_T11_Time,Car_B_T11_Time,T11_Time_Diff,Car_A_Exit_Speed,Car_B_Exit_Speed,Exit_Speed_Diff,DRS_Available,Successful_Pass
2,89,3.0,0.38700000000000045,10.917000000000002,10.513000000000002,0.4039999999999999,194.7,193.73,0.9699999999999989,1,0
9,71,46.0,0.018999999999991246,10.725999999999999,11.001999999999999,-0.2759999999999998,199.37,198.09,1.2800000000000011,1,1
9,88,71.0,0.10200000000000387,10.943999999999999,10.725999999999999,0.21799999999999997,194.9,199.37,-4.469999999999999,1,0
10,55,12.0,0.8539999999999992,11.707999999999998,10.924,0.7839999999999989,189.65,192.39,-2.7399999999999807,1,0
12,13,72.0,0.0030000000000143245,10.838000000000001,10.95,-0.11199999999999832,199.8,196.61,3.1899999999999977,1,0
12,13,72.0,0.0030000000000143245,10.838000000000001,10.95,-0.11199999999999832,199.8,196.61,3.1899999999999977,1,0
12,13,72.0,0.0030000000000143245,10.838000000000001,10.95,-0.11199999999999832,199.8,196.61,3.1899999999999977,1,0
12,13,72.0,0.0030000000000143245,10.838000000000001,10.95,-0.11199999999999832,199.8,196.61,3.1899999999999977,1,0
12,80,93.0,0.24199999999999022,10.546,11.016000000000002,-0.4700000000000024,195.66,195.76,-0.09999999999999432,1,0
15,72,55.0,0.09600000000000364,10.903000000000002,10.639000000000003,0.26399999999999935,195.31,195.42,-0.10999999999998522,1,0
15,72,55.0,0.09600000000000364,10.903000000000002,10.639000000000003,0.26399999999999935,195.31,195.42,-0.10999999999998522,1,0
15,2,72.0,0.2120000000000033,11.238,10.903000000000002,0.3349999999999973,197.54,195.31,2.2299999999999898,1,1
15,2,72.0,0.2120000000000033,11.238,10.903000000000002,0.3349999999999973,197.54,195.31,2.2299999999999898,1,1
15,2,72.0,0.2120000000000033,11.238,10.903000000000002,0.3349999999999973,197.54,195.31,2.2299999999999898,1,1
15,2,72.0,0.2120000000000033,11.238,10.903000000000002,0.3349999999999973,197.54,195.31,2.2299999999999898,1,1
15,93,15.0,0.16199999999999193,10.695,11.079,-0.38400000000000034,193.14,193.86,-0.7200000000000273,1,0
17,15,13.0,0.43599999999999284,10.864,11.384,-0.5199999999999996,193.01,195.54,-2.530000000000001,1,0
18,15,72.0,0.12999999999999545,10.828,11.001000000000001,-0.17300000000000182,191.97,198.78,-6.810000000000002,1,0
20,93,5.0,0.37300000000001887,10.974,10.857,0.11700000000000088,193.82,193.89,-0.06999999999999318,1,0
